State_ebay,State_amaz,,ebay,amaz,lat,long
Arizona,California,253,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Virginia,253,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Arizona,254,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,California,254,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Delaware,254,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Connecticut,256,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
North Carolina,Arizona,258,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,California,258,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,New York,258,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Colorado,260,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Massachusetts,260,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Massachusetts,New York,262,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Arizona,California,263,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Pennsylvania,264,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Maryland,265,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Arizona,268,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Virginia,268,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Colorado,269,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Florida,269,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Florida,270,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Massachusetts,Washington,271,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,California,273,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Washington,273,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,New Jersey,274,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Maryland,275,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Massachusetts,275,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Virginia,275,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Illinois,California,277,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,New Jersey,277,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Connecticut,279,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,New Jersey,281,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Virginia,282,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
California,Illinois,283,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Michigan,283,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,California,284,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Virginia,284,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,California,286,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Georgia,286,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New York,Pennsylvania,290,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Florida,291,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Connecticut,295,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Hawaii,Pennsylvania,295,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Arizona,296,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Hawaii,296,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Massachusetts,297,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Pennsylvania,299,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
